id;title;link;content;summary;author;published_date;jhi_read;favorited;tags;cover_image_url;views
1;wherever plagiarise bleakly;heavily question;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;miserly wicked supportive;2025-04-16T02:53:18;false;true;pfft besides safely;sophisticated;3877
2;while whenever however;pack;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;within nor;2025-04-15T12:26:50;true;false;harp;attribute gee;30095
3;behest joint;ugh optimistically frankly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;of downshift besides;2025-04-15T18:14:02;true;false;ack;for mentor direct;25080
4;moment suspiciously elegantly;meanwhile mortally near;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;notwithstanding remark unless;2025-04-16T05:10:31;true;false;including;early hmph;9390
5;jury;meanwhile above gymnast;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;favorable;2025-04-16T01:09:35;false;false;psst shameful;finally fully;17045
6;till pike brandish;vet reapply;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;continually;2025-04-16T01:02:48;false;false;labourer;pfft judgementally;21389
7;bouncy;understated mozzarella innovation;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;secondary;2025-04-16T00:04:36;true;true;premeditation favorable anenst;before;28188
8;yum;boohoo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;hydrant solicit;2025-04-15T15:32:31;true;true;toothpick testing needily;custom um;15887
9;geez exactly spear;exacerbate innocently shyly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ugh sans;2025-04-16T07:59:10;true;false;tall happily;down;10358
10;supposing;fowl provided political;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pish anti lest;2025-04-16T07:47:55;false;true;justly considering smug;whether;531
